track	clade	ref	n_bh	n_rbh	frac_nonrecip	many_to_one	median_pident
fish	fish	medaka	21610	14896	0.31068949560388714	0.27727903748264693	66.0
fish	fish	chicken	19505	11427	0.414150217892848	0.3867726224045117	59.0
fish	fish	mouse	20303	12458	0.38639609909865535	0.35201694330887057	58.3
fish	fish	human	20345	12510	0.385106905873679	0.3531088719587122	58.6
fish	fish	fruitfly	11252	4640	0.5876288659793815	0.5566121578386065	40.1
fish	fish	yeast	4383	1723	0.6068902578142825	0.5690166552589551	33.9
fish	fish	fugu	21058	14186	0.3263367841200494	0.2978915376578972	65.7
fish	fish	tilapia	22069	15507	0.2973401604059994	0.2545652272418324	67.2
fish	fish	salmon	22907	17184	0.24983629458244205	0.18116732876413322	69.4
fish	fish	cod	21360	14256	0.3325842696629213	0.29981273408239706	64.7
fish	fish	gar	21324	13901	0.3481054211217408	0.3305196023260176	65.6
fish	fish	coelacanth	20343	12018	0.4092316767438431	0.37226564420193675	59.3
fish	fish	elephantshark	19549	10764	0.4493836001841527	0.4147015192592971	57.4
fish	fish	lamprey	17741	8351	0.5292824530747985	0.48075080322416996	51.4
fish	fish	amphioxus	16469	7369	0.5525532819236141	0.503673568522679	44.9
fish	fish	seaurchin	15077	6821	0.5475890429130463	0.49399747960469587	42.5
fish	fish	celegans	10346	3937	0.6194664604678137	0.576841291320317	36.4
fish	fish	astyanax	22661	17378	0.23313181236485592	0.20855213803450867	72.8
fish	fish	carp	23310	19864	0.14783354783354785	0.12290862290862292	85.7
fish	fish	goldfish	24279	20897	0.13929733514559905	0.11046583467193871	85.5
fish	fish	sinocyclocheilus	22823	18795	0.17648862989089953	0.1517767164702274	84.4
fish	fish	grasscarp	20143	12242	0.3922454450677655	0.3595790100779427	58.2
mammal	mammal	rat	20808	18225	0.12413494809688586	0.1150519031141869	93.5
mammal	mammal	human	20344	17092	0.15985057019268578	0.14957727093983486	83.8
mammal	mammal	cow	20018	16626	0.16944749725247277	0.1568588270556499	82.2
mammal	mammal	dog	19771	16046	0.18840726316321887	0.17824085782206267	82.4
mammal	mammal	pig	19930	16487	0.17275464124435524	0.16011038635223285	82.4
mammal	mammal	chicken	17554	12601	0.2821579127264441	0.2629030420416999	65.4
mammal	mammal	xenopus	17801	13270	0.25453626200775237	0.22223470591539796	61.7
mammal	mammal	zebrafish	17558	12458	0.2904658844970953	0.24216881193757833	57.0
mammal	mammal	fruitfly	9218	4580	0.5031460186591452	0.47201128227381206	40.2
mammal	mammal	yeast	3561	1700	0.5226060095478798	0.48160629036787417	35.5
mammal	mammal	rabbit	19059	14502	0.23909963796631517	0.2259824754709061	80.7
mammal	mammal	horse	19540	15664	0.19836233367451384	0.18633572159672462	81.9
mammal	mammal	opossum	18818	14273	0.24152407269635456	0.2209055159953236	72.7
mammal	mammal	platypus	18121	13500	0.255008001765907	0.2373489321781359	69.7
mammal	mammal	anole	17474	12133	0.3056541146846744	0.28253405058944714	63.2
mammal	mammal	gar	17720	12209	0.3110045146726862	0.27330699774266365	58.4
mammal	mammal	lamprey	14994	8227	0.45131385887688413	0.40309457116179803	50.3
mammal	mammal	amphioxus	13699	7250	0.4707642893641871	0.42448353894444846	44.9
mammal	mammal	seaurchin	12233	6620	0.45884084034987327	0.4089757214093027	43.1
mammal	mammal	celegans	8307	3863	0.5349705068014927	0.48898519321054534	36.9
plant_rice	plant	maize	23473	15908	0.3222851787159715	0.2625569803604141	71.8
plant_rice	plant	sorghum	23696	16894	0.287052667116813	0.22877278865631334	73.3
plant_rice	plant	brachypodium	23784	16608	0.30171543895055497	0.24394550958627648	72.9
plant_rice	plant	arabidopsis	19313	9405	0.5130223165743282	0.42121886811991927	54.0
plant_rice	plant	tomato	19806	9447	0.5230233262647683	0.4362819347672422	53.7
plant_rice	plant	soybean	20687	10357	0.4993474162517523	0.341857205007976	55.0
plant_rice	plant	poplar	20691	10358	0.4993958726016142	0.3510705137499396	55.3
plant_rice	plant	amborella	19197	8923	0.5351877897588164	0.4741886753138511	54.7
plant_rice	plant	moss	15313	6096	0.6019068765101547	0.5057794031215308	48.0
plant_rice	plant	chlamydomonas	7852	3112	0.6036678553234844	0.5709373408048904	39.6
plant_rice	plant	grape	20217	9927	0.5089775931147055	0.4227135578968195	56.2
plant_rice	plant	potato	19554	8986	0.5404520814155671	0.4359210391735706	53.5
plant_rice	plant	selaginella	15746	6090	0.6132351073288453	0.4846310174012448	49.1
plant_rice	plant	marchantia	14922	5845	0.6082964750033508	0.5617209489344592	48.3
plant_rice	plant	o_rufipogon	27279	22612	0.17108398401700942	0.14795263756002786	99.1
plant_rice	plant	o_nivara	26892	22124	0.17730179979175964	0.15175516882344187	98.2
plant_rice	plant	o_glaberrima	27137	21678	0.20116446180491576	0.1742270700519586	98.5
plant_rice	plant	o_barthii	26270	20693	0.21229539398553487	0.1849638370765131	96.3
plant_rice	plant	o_punctata	24910	19219	0.2284624648735447	0.195303091128061	89.4
plant_rice	plant	o_brachyantha	24298	17317	0.28730759733311384	0.25146102559881467	83.2
plant_rice	plant	leersia	23963	17747	0.2593999081917957	0.2227183574677628	80.4
plant_arabidopsis	plant	tomato	21081	11240	0.46681846212229017	0.4047720696361653	58.3
plant_arabidopsis	plant	soybean	21939	12555	0.4277314371666895	0.31150006837139343	60.3
plant_arabidopsis	plant	poplar	22094	12813	0.42006879695845023	0.3147460849099303	61.7
plant_arabidopsis	plant	rice	19199	9405	0.510130735975832	0.44179384342934525	54.8
plant_arabidopsis	plant	maize	19439	9938	0.48875970986161843	0.4049076598590462	54.9
plant_arabidopsis	plant	amborella	19543	9590	0.5092872128127719	0.46973340838151767	56.3
plant_arabidopsis	plant	moss	16122	6528	0.5950874581317455	0.5056444609849895	48.3
plant_arabidopsis	plant	chlamydomonas	8173	3257	0.6014927199314817	0.5728618622292916	40.1
plant_arabidopsis	plant	grape	21199	11709	0.4476626255955469	0.3911033539317892	61.7
plant_arabidopsis	plant	potato	20459	10448	0.48932010362187794	0.41629600664744126	58.1
plant_arabidopsis	plant	selaginella	15947	6347	0.6019941054743839	0.49463848999811877	50.1
plant_arabidopsis	plant	marchantia	15481	6263	0.5954395710871391	0.5592016019636974	48.8
plant_arabidopsis	plant	a_halleri	24959	22089	0.11498858127328815	0.09695901278096075	93.0
plant_arabidopsis	plant	capsella	24319	20586	0.15350137752374682	0.13421604506764262	87.7
plant_arabidopsis	plant	camelina	24917	21981	0.11783119958261423	0.07593209455391903	88.5
plant_arabidopsis	plant	brassica_rapa	23793	18648	0.21624007060900263	0.17832976085403274	81.0
plant_arabidopsis	plant	brassica_oleracea	24121	18784	0.22125948343766844	0.17760457692467146	80.7
